joint,axe,,joint,axe,,,joint,axe,,joint,axe
roll,z,,roll,z,,,roll,z,,roll,z
pitch,y,,pitch,y,,,pitch,y,,pitch,y
pitch,y,,pitch,y,,,pitch,y,,pitch,y
pitch,y,,pitch,y,,,pitch,y,,pitch,y
pitch,z,,pitch,z,,,pitch,z,,pitch,z
roll,z,,roll,z,,,roll,z,,roll,z
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
joint,axe,,joint,axe,,,joint,axe,,joint,axe
roll,z,,roll,z,,,roll,z,,roll,z
pitch,y,,pitch,y,,,pitch,y,,pitch,y
pitch,y,,pitch,y,,,pitch,y,,pitch,y
pitch,y,,pitch,y,,,pitch,y,,pitch,y
pitch,z,,pitch,z,,,pitch,z,,pitch,z
roll,z,,roll,z,,,roll,z,,roll,z
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
joint,axe,,joint,axe,,,joint,axe,,joint,axe
roll,z,,roll,z,,,roll,z,,roll,z
pitch,y,,pitch,y,,,pitch,y,,pitch,y
pitch,y,,pitch,y,,,pitch,y,,pitch,y
pitch,y,,pitch,y,,,pitch,y,,pitch,y
pitch,z,,pitch,z,,,pitch,z,,pitch,z
roll,z,,roll,z,,,roll,z,,roll,z
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
joint,axe,,joint,axe,,,joint,axe,,joint,axe
roll,z,,roll,z,,,roll,z,,roll,z
pitch,y,,pitch,y,,,pitch,y,,pitch,y
pitch,y,,pitch,y,,,pitch,y,,pitch,y
pitch,y,,pitch,y,,,pitch,y,,pitch,y
pitch,z,,pitch,z,,,pitch,z,,pitch,z
roll,z,,roll,z,,,roll,z,,roll,z
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
joint,axe,,joint,axe,,,joint,axe,,joint,axe
roll,z,,roll,z,,,roll,z,,roll,z
pitch,y,,pitch,y,,,pitch,y,,pitch,y
pitch,y,,pitch,y,,,pitch,y,,pitch,y
pitch,y,,pitch,y,,,pitch,y,,pitch,y
pitch,z,,pitch,z,,,pitch,z,,pitch,z
roll,z,,roll,z,,,roll,z,,roll,z
